Number,Straight_MCP,Bent_MCP,Curled_MCP,Straight_PIP,Bent_PIP,Curled_PIP,Straight_DIP,Bent_DIP,Gesture,TH_CMC,TH_MCP,TH_IP,IN_MCP,IN_PIP,IN_DIP,MI_MCP,MI_PIP,MI_DIP,RI_MCP,RI_PIP,RI_DIP,PI_MCP,PI_PIP,PI_DIP
,,,,,,,,,,,,,,,,,,,,,,,,
1,12345,0,0,2345,0,0,12345,0,Open Straight Hand,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
2,2345,1,0,2345,0,0,12345,0,,180,120,180,180,180,180,180,180,180,180,180,180,180,180,180
3,12345,0,0,2345,0,0,2345,1,,180,180,120,180,180,180,180,180,180,180,180,180,180,180,180
4,2345,1,0,2345,0,0,2345,1,,180,150,120,180,180,180,180,180,180,180,180,180,180,180,180
5,2345,1,0,2345,0,0,2345,1,,180,120,120,180,180,180,180,180,180,180,180,180,180,180,180
6,2345,0,1,2345,0,0,2345,1,,180,90,120,180,180,180,180,180,180,180,180,180,180,180,180
7,2345,2,0,2345,0,0,12345,0,Straight Index MCP Bent,180,180,180,120,180,180,180,180,180,180,180,180,180,180,180
8,12345,0,0,345,2,0,12345,0,,180,180,180,180,120,180,180,180,180,180,180,180,180,180,180
9,12345,0,0,345,0,2,1345,2,,180,180,180,180,90,150,180,180,180,180,180,180,180,180,180
10,1345,2,0,345,0,2,1345,2,,180,180,180,120,90,120,180,180,180,180,180,180,180,180,180
11,1345,0,2,345,0,2,1345,2,,180,180,180,90,90,120,180,180,180,180,180,180,180,180,180
12,1345,0,2,345,0,2,12345,0,,180,180,180,90,90,180,180,180,180,180,180,180,180,180,180
13,1245,3,0,2345,0,0,12345,0,Straight Middle MCP Bent,180,180,180,180,180,180,120,180,180,180,180,180,180,180,180
14,12345,0,0,245,3,0,12345,0,,180,180,180,180,180,180,180,120,180,180,180,180,180,180,180
15,12345,0,0,245,0,3,1245,3,,180,180,180,180,180,180,180,90,150,180,180,180,180,180,180
16,1245,3,0,245,0,3,1245,3,,180,180,180,180,180,180,120,90,120,180,180,180,180,180,180
17,1245,0,3,245,0,3,1245,3,,180,180,180,180,180,180,90,90,120,180,180,180,180,180,180
18,1245,0,3,245,0,3,12345,0,,180,180,180,180,180,180,90,90,180,180,180,180,180,180,180
19,1235,4,0,2345,0,0,12345,0,Straight Ring MCP Bent,180,180,180,180,180,180,180,180,180,120,180,180,180,180,180
20,12345,0,0,235,4,0,12345,0,,180,180,180,180,180,180,180,180,180,180,120,180,180,180,180
21,12345,0,0,235,0,4,1235,4,,180,180,180,180,180,180,180,180,180,180,90,150,180,180,180
22,1235,4,0,235,0,4,1235,4,,180,180,180,180,180,180,180,180,180,120,90,120,180,180,180
23,1235,0,4,235,0,4,1235,4,,180,180,180,180,180,180,180,180,180,90,90,120,180,180,180
24,1235,0,4,235,0,4,12345,0,,180,180,180,180,180,180,180,180,180,90,90,180,180,180,180
25,1234,5,0,2345,0,0,12345,0,Straight Pinky MCP Bent,180,180,180,180,180,180,180,180,180,180,180,180,120,180,180
26,12345,0,0,234,5,0,12345,0,,180,180,180,180,180,180,180,180,180,180,180,180,180,120,180
27,12345,0,0,234,0,5,1234,5,,180,180,180,180,180,180,180,180,180,180,180,180,180,90,150
28,1234,5,0,234,0,5,1234,5,,180,180,180,180,180,180,180,180,180,180,180,180,120,90,120
29,1234,0,5,234,0,5,1234,5,,180,180,180,180,180,180,180,180,180,180,180,180,90,90,120
30,1234,0,5,234,0,5,12345,0,,180,180,180,180,180,180,180,180,180,180,180,180,90,90,180
31,0,0,12345,0,0,12345,0,12345,Closed Fist,90,90,110,90,90,100,90,90,100,90,90,100,90,90,100
32,2,0,1345,2,0,1345,2,1345,One,90,90,110,180,180,180,90,90,100,90,90,100,90,90,100
33,23,0,145,23,0,145,23,145,Two,90,90,110,180,180,180,180,180,180,90,90,100,90,90,100
34,234,0,15,234,0,15,234,15,Three,90,90,110,180,180,180,180,180,180,180,180,180,90,90,100
35,2345,0,1,2345,0,1,2345,1,Four,90,90,110,180,180,180,180,180,180,180,180,180,180,180,180
36,25,0,134,25,0,134,25,134,Rock,120,90,110,180,180,180,90,90,100,90,90,100,180,180,180
37,15,0,234,15,0,234,15,234,Shaka,180,180,180,90,90,100,90,90,100,90,90,100,180,180,180
38,3,0,1245,3,0,1245,3,1245,Middle Finger up,90,90,110,90,90,100,155,180,180,90,90,100,90,90,100
39,0,4,1235,4,0,1235,4,1235,Ring Finger up,90,90,110,90,90,100,90,90,100,120,180,180,90,90,100
40,0,5,1234,5,0,1234,5,1234,Pinky Finger up,90,90,110,90,90,100,90,90,100,90,90,100,175,180,180
41,3,0,1245,0,3,1245,3,1245,"Middle Finger up, PCP bent",90,90,110,90,90,100,155,120,175,90,90,100,90,90,100
42,0,4,1235,0,4,1235,4,1235,Ring Finger up,90,90,110,90,90,100,90,90,100,120,120,175,90,90,100
43,0,5,1234,0,5,1234,5,1234,Pinky Finger up,90,90,110,90,90,100,90,90,100,90,90,100,175,120,175
